utseconds, gps_lat, gps_lon, gps_alt, AOA, T_CAPS, T_MMS, qc_CAPS, qc_MMS, ps_CAPS, ps_MMS, PAS_CAPS, TAS_MMS
58924, 5.03561, -120.51720, 193.56, 2.15, 304.65, 297.40, 1014.683, 991.834, 94.20, 127.72, 123.78, 145.05
58924, 5.03437, -120.51721, 193.76, 2.27, 304.31, 297.39, 1014.683, 991.750, 93.67, 127.50, 123.39, 144.95
58924, 5.03312, -120.51721, 193.80, 2.24, 303.80, 297.39, 1014.683, 991.792, 93.50, 127.63, 123.17, 145.00
58924, 5.03189, -120.51721, 193.86, 2.54, 303.56, 297.38, 1014.683, 991.610, 92.28, 127.64, 122.36, 145.03
58924, 5.03065, -120.51721, 194.30, 2.39, 304.24, 297.42, 1014.683, 991.626, 92.80, 126.60, 122.83, 144.46
58924, 5.02941, -120.51721, 195.10, 2.02, 304.63, 297.42, 1014.683, 991.660, 93.94, 127.43, 123.61, 144.91
58924, 5.02815, -120.51721, 195.40, 1.94, 304.87, 297.38, 1014.683, 991.660, 95.42, 128.46, 124.58, 145.47
58924, 5.02691, -120.51721, 195.22, 1.98, 304.26, 297.37, 1014.683, 991.668, 95.07, 128.49, 124.24, 145.48
58924, 5.02544, -120.51721, 194.50, 2.21, 303.60, 297.43, 1014.683, 991.680, 94.90, 128.01, 124.00, 145.23
58924, 5.02438, -120.51721, 193.80, 2.20, 303.85, 297.43, 1014.683, 991.726, 94.46, 128.35, 123.78, 145.42
58924, 5.02319, -120.51721, 193.00, 2.18, 304.26, 297.42, 1014.683, 991.880, 94.11, 129.18, 123.65, 145.86
58924, 5.02181, -120.51721, 192.10, 2.25, 304.85, 297.42, 1014.683, 991.930, 94.28, 129.55, 123.87, 146.04
58924, 5.02060, -120.51721, 191.56, 2.33, 305.12, 297.44, 1014.683, 991.970, 94.37, 129.28, 123.98, 145.91
58924, 5.01945, -120.51721, 191.30, 2.35, 303.70, 297.42, 1014.683, 991.990, 93.85, 129.48, 123.37, 146.00
58924, 5.01821, -120.51722, 191.30, 2.19, 304.41, 297.43, 1014.683, 992.150, 94.55, 129.57, 123.95, 146.05
58924, 5.01696, -120.51723, 191.60, 2.40, 303.58, 297.42, 1014.683, 991.950, 93.50, 128.65, 123.13, 145.56
58924, 5.01573, -120.51723, 192.10, 2.30, 303.51, 297.43, 1014.683, 991.930, 94.11, 127.67, 123.49, 145.03
58924, 5.01449, -120.51724, 192.90, 2.27, 303.68, 297.43, 1014.683, 991.874, 93.32, 127.82, 123.04, 145.11
58924, 5.01324, -120.51725, 193.70, 1.96, 303.99, 297.41, 1014.683, 991.810, 95.16, 128.69, 124.24, 145.59
58924, 5.01199, -120.51725, 194.10, 2.23, 304.63, 297.40, 1014.683, 991.642, 94.11, 128.18, 123.72, 145.32
58924, 5.01075, -120.51726, 194.50, 2.31, 304.87, 297.40, 1014.683, 991.580, 93.94, 127.69, 123.66, 145.06
58924, 5.00950, -120.51726, 194.80, 2.18, 304.65, 297.42, 1014.683, 991.590, 94.37, 127.40, 123.89, 144.91
58924, 5.00828, -120.51727, 195.10, 1.89, 304.24, 297.39, 1014.683, 991.783, 95.25, 129.12, 124.34, 145.83
58924, 5.00703, -120.51728, 194.82, 1.96, 303.99, 297.39, 1014.683, 991.782, 94.55, 128.95, 123.86, 145.73
58924, 5.00580, -120.51728, 194.10, 2.23, 303.70, 297.39, 1014.683, 991.656, 94.02, 129.57, 123.48, 146.07
58924, 5.00454, -120.51728, 193.30, 2.26, 303.99, 297.40, 1014.683, 991.808, 94.55, 129.69, 123.86, 146.13
58924, 5.00331, -120.51728, 192.64, 2.19, 304.31, 297.44, 1014.683, 991.986, 94.02, 129.42, 123.60, 145.99
58924, 5.00200, -120.51728, 192.10, 2.21, 304.19, 297.45, 1014.683, 992.100, 94.63, 129.42, 123.96, 145.97
58924, 5.00081, -120.51729, 191.60, 2.19, 304.51, 297.44, 1014.683, 992.090, 93.94, 129.81, 123.59, 146.19
58924, 4.99889, -120.51730, 191.20, 2.44, 304.65, 297.43, 1014.683, 991.933, 94.20, 129.98, 123.78, 146.29
58924, 4.99833, -120.51731, 191.38, 2.46, 304.92, 297.42, 1014.683, 991.890, 93.67, 129.38, 123.51, 145.96
58924, 4.99708, -120.51731, 192.00, 2.23, 304.78, 297.44, 1014.683, 991.910, 94.37, 128.45, 123.91, 145.46
58924, 4.99584, -120.51720, 192.68, 2.15, 304.53, 297.42, 1014.683, 991.830, 94.90, 129.04, 124.19, 145.78
58924, 4.99460, -120.51668, 193.20, 2.18, 304.29, 297.42, 1014.683, 991.820, 94.90, 128.47, 124.14, 145.47
58924, 4.99337, -120.51670, 193.60, 2.29, 303.26, 297.43, 1014.683, 991.834, 93.94, 128.03, 123.34, 145.23
58924, 4.99211, -120.51672, 193.90, 2.24, 303.16, 297.44, 1014.683, 991.788, 93.76, 127.04, 123.21, 144.71
58924, 4.99087, -120.51677, 194.20, 2.42, 303.04, 297.43, 1014.683, 991.762, 92.45, 127.65, 122.37, 145.03
58924, 4.98963, -120.51684, 194.50, 2.28, 302.99, 297.41, 1014.683, 991.740, 94.02, 128.05, 123.33, 145.25
58924, 4.98839, -120.51694, 194.70, 2.44, 302.94, 297.39, 1014.683, 991.684, 93.15, 129.18, 122.78, 145.86
58924, 4.98714, -120.51708, 194.90, 2.76, 302.94, 297.38, 1014.683, 991.562, 92.54, 129.38, 122.40, 145.97
58924, 4.98590, -120.51726, 195.78, 3.08, 302.99, 297.38, 1014.683, 991.335, 91.84, 128.93, 121.97, 145.74
58924, 4.98466, -120.51750, 197.69, 3.12, 303.41, 297.34, 1014.683, 990.961, 92.63, 129.18, 122.55, 145.90
58924, 4.98345, -120.51778, 200.75, 3.01, 303.60, 297.33, 1014.683, 990.657, 91.67, 128.90, 121.99, 145.77
58924, 4.98224, -120.51813, 204.75, 3.17, 303.63, 297.26, 1014.683, 990.145, 91.84, 128.87, 122.10, 145.77
